Date : 2024-10-24 11:52:48
Directory : d:\Naufal\Nanady\presentation\Lomba-USB-Frontend
Total : 93 files,  12768 codes, 1102 comments, 1150 blanks, all 15020 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\main.jsx                                              | JavaScript JSX |         73 |         18 |         22 |        113 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Activity.jsx                                    | JavaScript JSX |         15 |         16 |          4 |         35 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Explore.jsx                                     | JavaScript JSX |         77 |          2 |         11 |         90 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Home.jsx                                        | JavaScript JSX |         30 |          1 |          5 |         36 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Login.jsx                                       | JavaScript JSX |        128 |          1 |         24 |        153 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Ongoing.jsx                                     | JavaScript JSX |         33 |          0 |          4 |         37 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\OtherUserDetail.jsx                             | JavaScript JSX |         13 |          0 |          5 |         18 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Profile.jsx                                     | JavaScript JSX |         44 |         10 |          7 |         61 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\ProfileOther.jsx                                | JavaScript JSX |         65 |          5 |         12 |         82 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\Register.jsx                                    | JavaScript JSX |        146 |          4 |         21 |        171 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\styles\Explore.css                              | CSS            |         42 |          3 |         12 |         57 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\styles\Home.css                                 | CSS            |         15 |          3 |          4 |         22 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\src\pages\styles\Login.css                                | CSS            |         22 |          0 |          3 |         25 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\tailwind.config.js                                        | JavaScript     |         21 |          2 |          2 |         25 |
| d:\Naufal\Nanady\presentation\Lomba-USB-Frontend\vite.config.js                                            | JavaScript     |          8 |          0 |          2 |         10 |
| Total                                                                                                      |                |     12,768 |      1,102 |      1,150 |     15,020 |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
